title,year,certificate,rating,description,director,writer,actors,genres
Transformers: Revenge of the Fallen,2009,2009,5.9,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Michael Bay,"['Michael Bay', 'Ehren Kruger']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'John Turturro', 'Ramón Rodríguez', 'Kevin Dunn', 'Julie White', 'Isabel Lucas', 'John Benjamin Hickey', 'Matthew Marsden', 'Andrew Howard', 'Michael Papajohn', 'Glenn Morshower', 'John Eric Bentley', 'Erin Naas', 'Rainn Wilson', 'Katie Lowes']",Michael Bay
Jack and Jill,2011,2011,3.3,"Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.",Dennis Dugan,"['Dennis Dugan', 'Ben Zook']","['Adam Sandler', 'Katie Holmes', 'Al Pacino', 'Elodie Tougne', 'Rohan Chand', 'Eugenio Derbez', 'David Spade', 'Nick Swardson', 'Tim Meadows', 'Allen Covert', 'Norm MacDonald', 'Geoff Pierson', 'Valerie Mahaffey', 'Gary Valentine', 'Dana Carvey', 'Regis Philbin', 'Gad Elmaleh', 'Dan Patrick']",Dennis Dugan
Troll 2,1990,1990,2.9,"A vacationing family discovers that the entire town they're visiting is inhabited by goblins, disguised as humans, who plan to eat them.",Claudio Fragasso,"['Claudio Fragasso', 'Rossella Drudi']","['Michael Paul Stephenson', 'George Hardy', 'Margo Prey', 'Connie Young', 'Robert Ormsby', 'Deborah Reed', 'Jason Wright', 'Darren Ewing', 'Jason Steadman', 'David McConnell', 'Gary Carlston', 'Mike Hamill', 'Don Packard', 'Christina Reynolds', 'Glenn Gerner', 'Michele Abrams', 'Lance C. Williams', 'Elli Case']",Claudio Fragasso
Teenage Mutant Ninja Turtles,2014,2014,5.8,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",Jonathan Liebesman,"['Jonathan Liebesman', 'Josh Appelbaum']","['Megan Fox', 'Will Arnett', 'William Fichtner', 'Noel Fisher', 'Alan Ritchson', 'Pete Ploszek', 'Johnny Knoxville', 'Jeremy Howard', 'Danny Woodburn', 'Tony Shalhoub', 'Tohoru Masamune', 'Whoopi Goldberg', 'Minae Noji', 'Abby Elliott', 'Madison Mason', 'Taran Killam', 'K. Todd Freeman', 'Paul Fitzgerald']",Jonathan Liebesman
Dionysus in '69,1970,1970,5.2,"Filmed stageplay based on the ancient greek play The Bacchae written by Euripides. This play is performed by members of The Performance Group, an NYC experimental theater group who has made their own personal adaptation of this ancient text. Filmed by Brian DePalma.",Brian De Palma,"['Brian De Palma', 'Richard Schechner']","['Remi Barclay', 'Samuel Blazer', 'Jason Bosseau', 'Richard Dia', 'William Finley', 'Joan MacIntosh', 'Vicki May', 'Patrick McDermott', 'Margaret Ryan', 'William Shephard', 'Ciel Smith']",Brian De Palma
Bratz,2007,2007,3.0,"During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques.",Sean McNamara,"['Sean McNamara', 'Susan Estelle Jansen']","['Skyler Shaye', 'Janel Parrish', 'Logan Browning', 'Nathalia Ramos', 'Chelsea Kane', 'Anneliese van der Pol', 'Melise', 'Ian Nelson', 'Stephen Ford', 'Jon Voight', 'Lainie Kazan', 'William May', 'Emily Rose Everhard', 'Chet Hanks', 'Carl Rux', 'Kim Morgan Greene', 'Sasha Cohen', 'Andrea Edwards']",Sean McNamara
Old Dogs,2009,2009,5.3,Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.,Walt Becker,"['Walt Becker', 'David Diamond']","['Robin Williams', 'John Travolta', 'Seth Green', 'Kelly Preston', 'Conner Rayburn', 'Ella Bleu Travolta', 'Lori Loughlin', 'Bernie Mac', 'Matt Dillon', 'Ann-Margret', 'Rita Wilson', 'Amy Sedaris', 'Residente', 'Sab Shimono', 'Kevin Yamada', 'Kevin Dean-Hackett', 'Laura Allen', 'Sam Travolta']",Walt Becker
Mother's Day,2016,2016,5.6,Three generations come together in the week leading up to Mother's Day.,Garry Marshall,"['Garry Marshall', 'Anya Kochoff']","['Jennifer Aniston', 'Kate Hudson', 'Julia Roberts', 'Jason Sudeikis', 'Timothy Olyphant', 'Shay Mitchell', 'Caleb Brown', 'Brandon Spink', 'Sam Marshall', 'Siena LaGambina', 'Joseph Leo Bwarie', 'Matthew Walker', 'Suzanne Haring', 'Marty Nadler', 'Rob Nagle', 'Lily Marshall-Fricker', 'Ethan Marshall', 'Emma Marshall']",Garry Marshall
Unplanned,2019,2019,5.5,"All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",Chuck Konzelman,"['Chuck Konzelman', 'Cary Solomon']","['Ashley Bratcher', 'Brooks Ryan', 'Robia Scott', 'Jared Lotz', 'Emma Elle Roberts', 'Robin DeMarco', 'Robert Thomason', 'Tina Toner', 'Sarah Hernandez', 'Maura Corsini', 'Lezl Gonzales', 'Mary Montoya', 'Kaiser Johnson', 'Andee Grace Burton', 'Alexander Kane', 'Stacey Bradshaw', 'Monica Peña', 'Connor Scott Frank']",Chuck Konzelman
The Phantom of the Opera,2004,2004,7.2,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,Joel Schumacher,"['Joel Schumacher', 'Gaston Leroux']","['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson', 'Minnie Driver', 'Ciarán Hinds', 'Simon Callow', 'Victor McGuire', 'Jennifer Ellison', 'Murray Melvin', 'Kevin McNally', 'James Fleet', 'Imogen Bain', 'Miles Western', 'Judith Paris', 'Halcro Johnston', 'Paul Brooke', 'Oliver Chopping']",Joel Schumacher
