iter	RMSE
0	0.9079656586
1	0.8996954291
2	0.8935081331
3	0.88719438
4	0.8801716999
5	0.874833722
6	0.8724833867
7	0.8684358834
8	0.866644188
9	0.8630518195
10	0.8606330734
11	0.8573090212
12	0.8506361979
13	0.8482559323
14	0.8469488613
15	0.8455567889
16	0.8444329188
17	0.8431581825
18	0.8414206367
19	0.837650218
20	0.836320037
21	0.8336075491
22	0.8304808556
23	0.829638045
24	0.8280134391
25	0.8238401117
26	0.8227474397
27	0.819860854
28	0.8190247937
29	0.8181967698
30	0.8144682488
31	0.8125316427
32	0.8107735778
33	0.8095645168
34	0.8087094767
35	0.8076713481
36	0.8065461932
37	0.8051993265
38	0.8014726658
39	0.8004625624
40	0.7997004784
41	0.7966848557
42	0.7949115571
43	0.794045088
44	0.7930530024
45	0.7893659222
46	0.7882166156
47	0.7873636478
48	0.7863280647
49	0.7853466577
50	0.7839318366
51	0.7831425376
52	0.7819212462
53	0.7803804689
54	0.7794342408
55	0.77832636
56	0.776928895
57	0.7727950416
58	0.7719547347
59	0.7713353993
60	0.7703132579
61	0.7694400677
62	0.7677664581
63	0.7667804134
64	0.7654764272
65	0.7635427122
66	0.761592335
67	0.7599431389
68	0.7591815356
69	0.7574782123
70	0.7552163746
71	0.7541526465
72	0.7529593262
73	0.7510462559
74	0.7490574688
75	0.7479814001
76	0.7463830492
77	0.7387057082
78	0.7348768013
79	0.7325910248
80	0.7312634233
81	0.7291807305
82	0.7273064753
83	0.7257877441
84	0.7217322582
85	0.7200357501
86	0.7163637929
87	0.7127163126
88	0.7097005994
89	0.7086272111
90	0.706818041
91	0.7057687326
92	0.7038368483
93	0.6971821123
94	0.6953503545
95	0.6895372833
96	0.6878964416
97	0.6802465477
98	0.6787321231
99	0.6768372323
100	0.6748760433
101	0.6708691339
102	0.6699091715
103	0.6686004077
104	0.6655556499
105	0.6646086073
106	0.6631567864
107	0.6562550328
108	0.6547682983
109	0.653860234
110	0.6516022274
111	0.650721643
112	0.6492218715
113	0.64407423
114	0.6424822975
115	0.6416588662
116	0.6387355839
117	0.6374982819
118	0.634574942
119	0.63136109
120	0.6297981732
121	0.6283723546
122	0.6261575498
123	0.6215226163
124	0.6195325514
125	0.618297447
126	0.6175416451
127	0.6127581858
128	0.6083278146
129	0.605618399
130	0.6042260206
131	0.6034308578
132	0.6023698287
133	0.6007404959
134	0.5980627252
135	0.5966639708
136	0.5959032901
137	0.5951599713
138	0.593873019
139	0.5928414977
140	0.5886838068
141	0.5879689135
142	0.5865851749
143	0.5855787786
144	0.5846497542
145	0.5831140053
146	0.5814271302
147	0.5788053856
148	0.5752770047
149	0.5737294277
150	0.5726884239
151	0.5719980988
152	0.5711183799
153	0.5683746583
154	0.5672198326
155	0.566303581
156	0.5656357831
157	0.5649751158
158	0.563507148
159	0.5613186083
160	0.5603854487
161	0.5597328151
162	0.5560374815
163	0.5546155454
164	0.5520813574
165	0.5512529767
166	0.5499424115
167	0.5487762255
168	0.5470148508
169	0.5460428137
170	0.5453852484
171	0.5447758403
172	0.5439805317
173	0.5434170764
174	0.5423532137
175	0.5411567442
176	0.5400743982
177	0.5389541985
178	0.5384047214
179	0.5373068814
180	0.536442218
181	0.5355677277
182	0.5344848922
183	0.533240426
184	0.529359428
185	0.5288152468
186	0.5271332357
187	0.5254006897
188	0.5248160914
189	0.5239697416
190	0.5233710895
191	0.5228298399
192	0.5222787463
193	0.5199306735
194	0.5193818853
195	0.5180816873
196	0.5172299493
197	0.516437156
198	0.5157341319
199	0.5151812407
200	0.5131850853
201	0.5122682847
202	0.5114017444
203	0.5108731866
204	0.5101762978
205	0.5083411456
206	0.5053613522
207	0.5045831402
208	0.5037244085
209	0.5029936226
210	0.5022629669
211	0.5013987597
212	0.500848877
213	0.4988220862
214	0.4983294161
215	0.4973863276
216	0.4968931676
217	0.4930744517
218	0.4900587341
219	0.4871953127
220	0.4865560832
221	0.4860370268
222	0.4855430688
223	0.4849475224
224	0.4841994984
225	0.4836737282
226	0.4822926536
227	0.4799080674
228	0.479262273
229	0.4784290031
230	0.4775208504
231	0.4766308479
232	0.4761798945
233	0.4757113222
234	0.4752505707
235	0.4744891092
236	0.4708067805
237	0.4700733256
238	0.4696016707
239	0.4668896863
240	0.4661818115
241	0.4624544045
242	0.4617084249
243	0.4598921018
244	0.458826672
245	0.4570249198
246	0.4562807937
247	0.4553477443
248	0.4547741417
249	0.4543173189
250	0.4536486
251	0.4530829336
252	0.451231828
253	0.4501137286
254	0.449403582
255	0.4489473989
256	0.4484217061
257	0.447767526
258	0.4440432668
259	0.4436725317
260	0.4430499553
261	0.440369595
262	0.4399506932
263	0.4395229339
264	0.4389326112
265	0.4379250176
266	0.4372997372
267	0.4364308535
268	0.4360123657
269	0.4353808875
270	0.4347859351
271	0.4342945501
272	0.4338486458
273	0.4331568472
274	0.432390913
275	0.4318962645
276	0.4313953483
277	0.4309450626
278	0.4305481402
279	0.4300863637
280	0.4294723778
281	0.4290445862
282	0.4286672459
283	0.4278348475
284	0.4273086766
285	0.4267440247
286	0.4260032724
287	0.4252819477
288	0.4226631165
289	0.4221255669
290	0.4201352763
291	0.4173479634
292	0.4154609001
293	0.4150840752
294	0.4142036826
295	0.4136483316
296	0.4127315305
297	0.4102616083
298	0.4096809064
299	0.4091966388
300	0.4088057673
301	0.4082238131
302	0.407746795
303	0.4072603752
304	0.4066803044
305	0.406318515
306	0.4055966812
307	0.405256376
308	0.4047707392
309	0.4042638636
310	0.4038691038
311	0.4034503641
312	0.4029596535
313	0.4026196534
314	0.4021135076
315	0.4017195471
316	0.4000715316
317	0.3996910756
318	0.399167415
319	0.3988363568
320	0.3984105261
321	0.3969431042
322	0.3965248034
323	0.3961669571
324	0.3954318641
325	0.3950839664
326	0.394531508
327	0.3941271455
328	0.3936545746
329	0.3914719122
330	0.3908188992
331	0.3904778888
332	0.3900502833
333	0.3896753779
334	0.3893485033
335	0.3889171109
336	0.388431826
337	0.3880688151
338	0.3874578456
339	0.3870300772
340	0.3865415488
341	0.3860782308
342	0.3848387209
343	0.3842218858
344	0.3836290464
345	0.3832878584
346	0.3829317763
347	0.3826172814
348	0.3822304913
349	0.3817340822
350	0.3793077919
351	0.3789392322
352	0.3786330789
353	0.3766360635
354	0.3763476468
355	0.3754114797
356	0.3750664384
357	0.3747257327
358	0.3743156077
359	0.373791069
360	0.3732477088
361	0.3712492129
362	0.3708491799
363	0.3704468044
364	0.3690643541
365	0.3687697093
366	0.3684361961
367	0.3677673912
368	0.3666365105
369	0.3656239213
370	0.3636985849
371	0.363221561
372	0.3627628144
373	0.3609439295
374	0.3596991206
375	0.3592880907
376	0.3590008738
377	0.3587055586
378	0.3566716976
379	0.3561975707
380	0.3558945249
381	0.3549626704
382	0.3546539734
383	0.3543403853
384	0.3539164549
385	0.3533885177
386	0.3527155441
387	0.3522683012
388	0.3507975818
389	0.3495738062
390	0.3485105789
391	0.3482039146
392	0.3478242942
393	0.347364612
394	0.3469576009
395	0.3465124939
396	0.3461093983
397	0.345549087
398	0.3445299172
399	0.3441545918
400	0.3438593054
401	0.3434415276
402	0.3431592021
403	0.3416721966
404	0.3405616412
405	0.3401447114
406	0.3398741554
407	0.3395882188
408	0.3390881896
409	0.3379416205
410	0.3373687492
411	0.3349822726
412	0.3346963403
413	0.3342766761
414	0.3337152919
415	0.3333451399
416	0.3328673911
417	0.3326118628
418	0.3322791549
419	0.331888824
420	0.33145957
421	0.3311866492
422	0.3296929786
423	0.3292727778
424	0.3290260259
425	0.3279430024
426	0.3274591182
427	0.3268258749
428	0.3265547925
429	0.3261241665
430	0.3246464692
431	0.3242464089
432	0.3239773694
433	0.3220471005
434	0.3216800919
435	0.3214159426
436	0.3207133132
437	0.3204614466
438	0.320147052
439	0.319579524
440	0.3186791414
441	0.3182164522
442	0.3178950959
443	0.3176481309
444	0.3165337817
445	0.31606029
446	0.3157112716
447	0.3153669048
448	0.3133525627
449	0.3130861275
450	0.3127403532
451	0.3123470325
452	0.3119754334
453	0.3115996635
454	0.3112267877
455	0.310623414
456	0.3097729027
457	0.3094850195
458	0.3091990206
459	0.3088770999
460	0.3083975211
461	0.3061195658
462	0.3058944395
463	0.305650763
464	0.305381299
465	0.3043188331
466	0.303899689
467	0.303609282
468	0.3033503293
469	0.3031071715
470	0.3018966645
471	0.301527275
472	0.3012504431
473	0.3010012731
474	0.3006996127
475	0.3003490374
476	0.3001096729
477	0.2998395257
478	0.2989362106
479	0.2986539926
480	0.2982508347
481	0.2978217802
482	0.2974921444
483	0.2971945527
484	0.2966772782
485	0.2964432041
486	0.29527461
487	0.2949323621
488	0.2936001174
489	0.2930626352
490	0.2927750095
491	0.2924355888
492	0.2906941098
493	0.2889028868
494	0.2880194461
495	0.2873385599
496	0.2871282183
497	0.2867977848
498	0.2864798278
499	0.2852615311
500	0.2849811618
501	0.2847287413
502	0.2845272255
503	0.2842349653
504	0.2838806241
505	0.2836462785
506	0.2834195683
507	0.2820467905
508	0.2811962975
509	0.2809395597
510	0.2805065898
511	0.2802106932
512	0.2786271878
513	0.2783199986
514	0.2780703292
515	0.276716928
516	0.2764927834
517	0.2762801785
518	0.2759851763
519	0.2748351591
520	0.2744771423
521	0.2740143599
522	0.2737941337
523	0.2734895051
524	0.2716141242
525	0.2703350205
526	0.2701105209
527	0.2696180546
528	0.2694005944
529	0.2685192735
530	0.2682449457
531	0.2680018215
532	0.2677222489
533	0.2675242229
534	0.2666950402
535	0.2664049145
536	0.2661943574
537	0.2658320128
538	0.2656260115
539	0.2654102522
540	0.2651532811
541	0.2640887387
542	0.2638838733
543	0.2636178087
544	0.2630453976
545	0.2628422182
546	0.2625387067
547	0.2623530797
548	0.2617692242
549	0.2614868631
550	0.2612537931
551	0.261051578
552	0.2603668565
553	0.2601300923
554	0.259895581
555	0.2596861081
556	0.2595184042
557	0.2588579464
558	0.2586271153
559	0.2578814119
560	0.2576475776
561	0.2566149038
562	0.2564178517
563	0.2561594144
564	0.255815336
565	0.2555611728
566	0.2553619227
567	0.2546963541
568	0.2544208813
569	0.2541118288
570	0.2539115878
571	0.2536184668
572	0.2533876996
573	0.2527106945
574	0.2525222343
575	0.2523232854
576	0.2521615857
577	0.2518608081
578	0.2516619885
579	0.2501208252
580	0.2492472651
581	0.2490580905
582	0.2487646308
583	0.2479764469
584	0.2477000737
585	0.247393973
586	0.2471680319
587	0.2468572316
588	0.2464649577
589	0.2455506002
590	0.2446004987
591	0.2444210938
592	0.2441252466
593	0.2439468829
594	0.2437534789
595	0.2425537708
596	0.2423780326
597	0.2421873679
598	0.2419746346
599	0.241302994
600	0.2403719603
601	0.2402044228
602	0.240037994
603	0.2398260736
604	0.2393073238
605	0.2390250895
606	0.2386381805
607	0.2379687292
608	0.2377903468
609	0.237563523
610	0.2373374123
611	0.2371070988
612	0.2369537236
613	0.2365559016
614	0.2361754686
615	0.2359220039
616	0.235727614
617	0.2347655817
618	0.2345338139
619	0.2342880798
