iter	Passed	Remaining
0	17	17288
1	34	17027
2	52	17420
3	71	17721
4	89	17764
5	115	19077
6	134	19013
7	152	18859
8	170	18819
9	188	18696
10	206	18604
11	226	18613
12	244	18584
13	263	18580
14	282	18538
15	299	18420
16	316	18277
17	332	18118
18	348	17991
19	366	17946
20	382	17843
21	399	17774
22	429	18251
23	470	19140
24	494	19292
25	517	19373
26	556	20063
27	578	20080
28	603	20214
29	624	20179
30	644	20149
31	662	20049
32	679	19914
33	696	19788
34	713	19676
35	737	19749
36	753	19616
37	769	19487
38	785	19359
39	801	19247
40	817	19121
41	833	19006
42	849	18897
43	864	18781
44	879	18671
45	896	18597
46	914	18549
47	932	18500
48	950	18456
49	966	18361
50	982	18274
51	996	18174
52	1012	18084
53	1027	17997
54	1043	17927
55	1058	17847
56	1073	17765
57	1089	17686
58	1103	17605
59	1120	17549
60	1135	17473
61	1150	17403
62	1165	17331
63	1180	17265
64	1195	17196
65	1210	17129
66	1225	17069
67	1241	17019
68	1257	16973
69	1272	16911
70	1288	16856
71	1303	16806
72	1319	16749
73	1334	16694
74	1349	16641
75	1364	16585
76	1379	16537
77	1394	16487
78	1409	16435
79	1424	16385
80	1441	16353
81	1456	16309
82	1472	16267
83	1487	16225
84	1503	16183
85	1518	16136
86	1533	16091
87	1549	16061
88	1564	16018
89	1580	15977
90	1595	15936
91	1610	15892
92	1625	15853
93	1641	15817
94	1656	15778
95	1671	15740
96	1687	15705
97	1702	15671
98	1717	15631
99	1732	15593
100	1747	15556
101	1762	15520
102	1778	15486
103	1793	15447
104	1808	15413
105	1823	15380
106	1838	15344
107	1853	15311
108	1869	15279
109	1884	15244
110	1899	15210
111	1916	15191
112	1931	15158
113	1946	15125
114	1961	15095
115	1976	15063
116	1991	15032
117	2007	15002
118	2023	14978
119	2038	14946
120	2053	14920
121	2069	14890
122	2084	14860
123	2099	14833
124	2114	14802
125	2130	14775
126	2145	14746
127	2160	14716
128	2175	14687
129	2190	14659
130	2205	14632
131	2221	14605
132	2235	14575
133	2252	14560
134	2267	14531
135	2283	14505
136	2298	14480
137	2314	14455
138	2329	14428
139	2345	14405
140	2360	14379
141	2375	14352
142	2390	14326
143	2406	14303
144	2421	14276
145	2436	14252
146	2454	14241
147	2469	14216
148	2484	14192
149	2500	14167
150	2515	14141
151	2530	14118
152	2546	14097
153	2562	14077
154	2577	14052
155	2592	14027
156	2607	14002
157	2622	13977
158	2637	13953
159	2653	13929
160	2668	13905
161	2684	13885
162	2699	13860
163	2714	13837
164	2729	13814
165	2745	13792
166	2760	13769
167	2775	13747
168	2791	13725
169	2806	13701
170	2821	13679
171	2836	13656
172	2854	13646
173	2871	13632
174	2888	13618
175	2904	13597
176	2920	13578
177	2935	13557
178	2951	13535
179	2966	13515
180	2981	13492
181	2997	13470
182	3012	13449
183	3027	13426
184	3042	13404
185	3057	13381
186	3072	13360
187	3088	13338
188	3103	13317
189	3118	13296
190	3134	13275
191	3149	13254
192	3164	13232
193	3179	13211
194	3195	13189
195	3210	13170
196	3226	13150
197	3241	13129
198	3257	13110
199	3272	13088
200	3287	13067
201	3302	13047
202	3317	13025
203	3333	13005
204	3348	12985
205	3363	12964
206	3378	12943
207	3393	12922
208	3409	12903
209	3424	12882
210	3440	12863
211	3455	12842
212	3471	12826
213	3486	12806
214	3503	12793
215	3519	12772
216	3535	12757
217	3551	12738
218	3566	12718
219	3581	12697
220	3596	12678
221	3612	12658
222	3627	12637
223	3642	12617
224	3658	12600
225	3673	12581
226	3688	12561
227	3703	12541
228	3718	12520
229	3734	12500
230	3749	12481
231	3765	12463
232	3780	12443
233	3795	12423
234	3810	12404
235	3825	12384
236	3841	12365
237	3857	12349
238	3872	12330
239	3887	12309
240	3902	12290
241	3918	12272
242	3933	12253
243	3949	12236
244	3964	12218
245	3980	12199
246	3995	12180
247	4010	12161
248	4025	12142
249	4041	12124
250	4056	12105
251	4072	12086
252	4087	12069
253	4102	12049
254	4120	12039
255	4136	12020
256	4151	12001
257	4166	11983
258	4181	11964
259	4197	11946
260	4212	11927
261	4227	11907
262	4242	11890
263	4258	11873
264	4274	11855
265	4289	11835
266	4304	11817
267	4320	11800
268	4335	11780
269	4358	11784
270	4373	11765
271	4388	11745
272	4404	11729
273	4419	11710
274	4435	11693
275	4450	11674
276	4465	11655
277	4482	11640
278	4497	11622
279	4512	11603
280	4529	11589
281	4544	11571
282	4560	11553
283	4576	11538
284	4593	11524
285	4609	11507
286	4624	11489
287	4640	11471
288	4655	11453
289	4670	11434
290	4685	11416
291	4700	11398
292	4716	11380
293	4731	11362
294	4747	11345
295	4762	11327
296	4777	11308
297	4792	11290
298	4808	11272
299	4823	11254
300	4838	11236
301	4853	11218
302	4869	11201
303	4884	11182
304	4900	11167
305	4916	11149
306	4931	11131
307	4947	11115
308	4962	11097
309	4977	11079
310	4992	11061
311	5007	11042
312	5023	11025
313	5038	11008
314	5054	10991
315	5070	10974
316	5085	10956
317	5100	10938
318	5115	10920
319	5130	10902
320	5145	10884
321	5160	10866
322	5176	10850
323	5192	10832
324	5207	10814
325	5222	10796
326	5237	10778
327	5252	10761
328	5268	10745
329	5284	10729
330	5299	10711
331	5315	10694
332	5330	10676
333	5345	10658
334	5360	10641
335	5376	10624
336	5391	10606
337	5406	10588
338	5421	10571
339	5436	10553
340	5451	10536
341	5467	10519
342	5483	10503
343	5499	10486
344	5514	10469
345	5530	10452
346	5546	10437
347	5561	10419
348	5576	10402
349	5591	10384
350	5607	10367
351	5622	10350
352	5638	10334
353	5653	10316
354	5668	10299
355	5683	10281
356	5698	10264
357	5713	10246
358	5729	10229
359	5745	10213
360	5760	10196
361	5775	10179
362	5790	10162
363	5806	10144
364	5821	10127
365	5836	10110
366	5851	10093
367	5867	10076
368	5882	10059
369	5898	10043
370	5913	10026
371	5930	10011
372	5945	9993
373	5960	9976
374	5975	9959
375	5990	9942
376	6005	9924
377	6021	9907
378	6036	9891
379	6051	9873
380	6067	9857
381	6082	9840
382	6097	9823
383	6113	9806
384	6127	9788
385	6144	9773
386	6160	9757
387	6175	9740
388	6190	9723
389	6205	9705
390	6220	9688
391	6235	9671
392	6250	9654
393	6266	9638
394	6282	9623
395	6298	9606
396	6313	9589
397	6328	9573
398	6344	9556
399	6359	9538
400	6374	9522
401	6389	9505
402	6405	9488
403	6420	9471
404	6435	9454
405	6450	9437
406	6465	9420
407	6481	9404
408	6498	9390
409	6514	9374
410	6529	9357
411	6544	9340
412	6559	9323
413	6575	9307
414	6590	9290
415	6615	9287
416	6630	9270
417	6646	9254
418	6661	9237
419	6677	9220
420	6692	9204
421	6708	9187
422	6723	9170
423	6738	9154
424	6753	9137
425	6768	9120
426	6783	9103
427	6799	9086
428	6814	9069
429	6829	9053
430	6845	9036
431	6861	9021
432	6879	9009
433	6900	8999
434	6915	8982
435	6931	8965
436	6946	8949
437	6961	8932
438	6976	8915
439	6991	8898
440	7006	8881
441	7022	8866
442	7037	8849
443	7053	8832
444	7068	8815
445	7074	8787
446	7089	8770
447	7104	8754
448	7119	8737
449	7135	8720
450	7150	8704
451	7165	8687
452	7180	8670
453	7196	8654
454	7211	8638
455	7227	8621
456	7242	8605
457	7257	8588
458	7272	8571
459	7288	8555
460	7305	8541
461	7319	8524
462	7335	8507
463	7350	8491
464	7366	8474
465	7381	8458
466	7396	8441
467	7411	8424
468	7426	8408
469	7441	8391
470	7457	8375
471	7472	8359
472	7488	8343
473	7503	8327
474	7520	8312
475	7536	8295
476	7551	8279
477	7566	8263
478	7581	8246
479	7596	8230
480	7612	8213
481	7627	8196
482	7642	8180
483	7657	8164
484	7673	8147
485	7688	8131
486	7704	8115
487	7719	8098
488	7734	8082
489	7749	8066
490	7764	8049
491	7779	8032
492	7795	8016
493	7810	8000
494	7825	7983
495	7840	7967
496	7855	7950
497	7870	7933
498	7885	7917
499	7902	7902
500	7917	7886
501	7933	7870
502	7948	7853
503	7965	7838
504	7983	7825
505	8004	7815
506	8022	7801
507	8042	7789
508	8060	7775
509	8077	7760
510	8093	7745
511	8108	7728
512	8124	7712
513	8139	7696
514	8155	7680
515	8170	7664
516	8187	7649
517	8204	7633
518	8224	7622
519	8245	7611
520	8272	7605
521	8288	7589
522	8307	7577
523	8331	7568
524	8348	7553
525	8365	7538
526	8382	7523
527	8398	7507
528	8414	7492
529	8431	7477
530	8449	7462
531	8465	7447
532	8483	7432
533	8499	7417
534	8516	7402
535	8535	7389
536	8552	7373
537	8567	7357
538	8584	7342
539	8603	7329
540	8621	7314
541	8638	7299
542	8655	7284
543	8670	7268
544	8687	7252
545	8703	7237
546	8719	7220
547	8734	7204
548	8750	7188
549	8766	7172
550	8783	7157
551	8799	7141
552	8817	7127
553	8834	7112
554	8851	7097
555	8870	7083
556	8890	7070
557	8909	7057
558	8929	7044
559	8946	7029
560	8964	7014
561	8984	7001
562	9003	6988
563	9022	6974
564	9040	6960
565	9060	6947
566	9077	6932
567	9097	6919
568	9115	6904
569	9133	6890
570	9151	6875
571	9169	6860
572	9186	6845
573	9206	6832
574	9224	6817
575	9242	6803
576	9260	6789
577	9279	6774
578	9297	6760
579	9315	6745
580	9333	6731
581	9350	6715
582	9367	6700
583	9383	6684
584	9401	6669
585	9420	6655
586	9438	6640
587	9455	6625
588	9472	6609
589	9490	6595
590	9509	6580
591	9529	6567
592	9550	6554
593	9568	6539
594	9586	6525
595	9604	6510
596	9622	6495
597	9640	6481
598	9657	6465
599	9675	6450
600	9696	6437
601	9716	6423
602	9740	6412
603	9757	6397
604	9776	6382
605	9793	6367
606	9812	6352
607	9829	6337
608	9847	6322
609	9866	6308
610	9885	6293
611	9919	6289
612	9938	6274
613	9956	6259
614	9975	6244
615	9994	6230
616	10012	6214
617	10030	6199
618	10048	6184
619	10065	6169
620	10083	6154
621	10100	6138
622	10117	6122
623	10135	6107
624	10153	6091
625	10170	6076
626	10187	6060
627	10204	6044
628	10221	6028
629	10238	6012
630	10256	5997
631	10273	5981
632	10290	5965
633	10306	5949
634	10324	5934
635	10343	5919
636	10362	5904
637	10379	5889
638	10399	5875
639	10418	5860
640	10435	5844
641	10451	5828
642	10466	5811
643	10482	5794
644	10498	5778
645	10514	5762
646	10531	5745
647	10547	5729
648	10563	5713
649	10580	5696
650	10595	5680
651	10611	5663
652	10628	5647
653	10644	5631
654	10660	5614
655	10675	5598
656	10691	5581
657	10707	5565
658	10723	5548
659	10739	5532
660	10754	5515
661	10771	5499
662	10786	5482
663	10802	5466
664	10818	5449
665	10834	5433
666	10850	5417
667	10866	5400
668	10882	5384
669	10898	5367
670	10914	5351
671	10930	5335
672	10946	5318
673	10961	5301
674	10977	5285
675	10993	5268
676	11008	5252
677	11024	5235
678	11040	5219
679	11056	5202
680	11071	5186
681	11086	5169
682	11101	5152
683	11117	5135
684	11131	5119
685	11146	5102
686	11162	5085
687	11177	5068
688	11192	5052
689	11208	5035
690	11222	5018
691	11238	5001
692	11253	4985
693	11268	4968
694	11284	4952
695	11299	4935
696	11315	4918
697	11330	4902
698	11345	4885
699	11360	4868
700	11376	4852
701	11392	4836
702	11407	4819
703	11422	4802
704	11437	4785
705	11452	4769
706	11468	4752
707	11484	4736
708	11500	4720
709	11516	4704
710	11532	4687
711	11548	4671
712	11565	4655
713	11581	4639
714	11597	4622
715	11613	4606
716	11629	4590
717	11645	4573
718	11661	4557
719	11676	4540
720	11693	4524
721	11709	4508
722	11725	4492
723	11740	4475
724	11756	4459
725	11771	4442
726	11787	4426
727	11803	4410
728	11818	4393
729	11834	4377
730	11851	4361
731	11866	4344
732	11882	4328
733	11899	4312
734	11915	4296
735	11931	4279
736	11947	4263
737	11963	4247
738	11979	4230
739	11994	4214
740	12010	4197
741	12026	4181
742	12041	4165
743	12056	4148
744	12071	4131
745	12086	4115
746	12101	4098
747	12117	4082
748	12132	4065
749	12148	4049
750	12163	4032
751	12178	4016
752	12193	3999
753	12209	3983
754	12224	3966
755	12238	3950
756	12254	3933
757	12283	3921
758	12297	3904
759	12313	3888
760	12328	3871
761	12343	3855
762	12360	3839
763	12374	3822
764	12390	3806
765	12405	3789
766	12420	3773
767	12435	3756
768	12451	3740
769	12466	3723
770	12483	3707
771	12499	3691
772	12515	3675
773	12530	3658
774	12546	3642
775	12562	3626
776	12580	3610
777	12596	3594
778	12611	3577
779	12627	3561
780	12642	3545
781	12658	3528
782	12673	3512
783	12690	3496
784	12705	3479
785	12720	3463
786	12735	3446
787	12750	3430
788	12766	3413
789	12781	3397
790	12796	3381
791	12812	3364
792	12827	3348
793	12842	3332
794	12858	3315
795	12873	3299
796	12890	3283
797	12905	3266
798	12921	3250
799	12936	3234
800	12951	3217
801	12966	3201
802	12981	3184
803	12997	3168
804	13012	3152
805	13027	3135
806	13042	3119
807	13058	3102
808	13073	3086
809	13088	3070
810	13104	3053
811	13119	3037
812	13134	3021
813	13149	3004
814	13165	2988
815	13180	2971
816	13195	2955
817	13210	2939
818	13226	2923
819	13241	2906
820	13256	2890
821	13271	2873
822	13286	2857
823	13302	2841
824	13317	2824
825	13333	2808
826	13349	2792
827	13364	2776
828	13381	2760
829	13396	2743
830	13411	2727
831	13427	2711
832	13442	2695
833	13457	2678
