title,year,certificate,rating,description,director,writer,stars,actors,genres
Transformers: Revenge of the Fallen,2009,2009,5.9,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Nominated for 1 Oscar,,Stars,Shia LaBeouf,Michael Bay
Jack and Jill,2011,2011,3.3,"Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.",Awards,Writers,Stars,Adam Sandler,Dennis Dugan
Troll 2,1990,1990,2.9,"A vacationing family discovers that the entire town they're visiting is inhabited by goblins, disguised as humans, who plan to eat them.",Trivia,Learn more about contributing,Stars,Michael Paul Stephenson,Claudio Fragasso
Teenage Mutant Ninja Turtles,2014,2014,5.8,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",Awards,Writers,Stars,Megan Fox,Jonathan Liebesman
Dionysus in '69,1970,1970,5.2,"Filmed stageplay based on the ancient greek play The Bacchae written by Euripides. This play is performed by members of The Performance Group, an NYC experimental theater group who has made their own personal adaptation of this ancient text. Filmed by Brian DePalma.",Awards,Learn more about contributing,Stars,Remi Barclay,Brian De Palma
Bratz,2007,2007,3.0,"During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques.",Awards,Learn more about contributing,Stars,Skyler Shaye,Sean McNamara
Old Dogs,2009,2009,5.3,Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.,Awards,Learn more about contributing,Stars,Robin Williams,Walt Becker
Mother's Day,2016,2016,5.6,Three generations come together in the week leading up to Mother's Day.,Awards,Writers,Stars,Jennifer Aniston,Garry Marshall
Unplanned,2019,2019,5.5,"All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",Awards,Learn more about contributing,Stars,Ashley Bratcher,Chuck Konzelman
The Phantom of the Opera,2004,2004,7.2,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,Nominated for 3 Oscars,,Stars,Gerard Butler,Joel Schumacher
Delgo,2008,2008,4.3,"Delgo, an adventurous but naive teenager, must rally his group of friends to protect their world from conflict between the Lockni and Nohrin people.",Trivia,Writers,Stars,Freddie Prinze Jr.,Marc F. Adler
The Ugly Truth,2009,2009,6.4,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.,Awards,Learn more about contributing,Stars,Katherine Heigl,Robert Luketic
